port_name,unlocode,lat,lon
A CORUNA,ESLCG,43.35376,-8.370495
ALGECIRAS,ESALG,36.13672,-5.434271
ALICANTE,ESALC,38.33287,-0.4930081
ALMERIA,ESLEI,36.82997,-2.473452
AVILES,ESAVS,43.57413,-5.927982
BALEARES,ESPMI,39.55724,2.632371
BARCELONA,ESBCN,41.35238,2.158441
BILBAO,ESBIO,43.3558,-3.066499
CADIZ,ESCAD,36.535,-6.283473
CARTAGENA,ESCAR,37.58017,-0.9679291
CATELLON,ESCAS,39.96701,0.0204053
CEUTA,ESCEU,35.89361,-5.31317
FERROL,ESFRO,43.48063,-8.235207
GIJON,ESGIJ,43.54509,-5.66688
HUELVA,ESHUV,37.14139,-6.854015
MALAGA,ESAGP,36.70981,-4.417605
MARIN,ESMAR,42.399722,-8.696667
MELILLA,ESMLN,35.28071,-2.926575
MOTRIL,ESMOT,36.71932,-3.522086
PASAIA,ESZJR,43.32421,-1.92681
SANTANDER,ESSDR,43.45535,-3.808037
SEVILLA,ESSVQ,37.36877,-6.005573
TARRAGONA,ESTAR,41.10103,1.224716
VALENCIA,ESVLC,39.44231,-0.316466
VIGO,ESVGO,42.2415,-8.721235
VILAGARCIA,ESVIL,42.5977,-8.775203
LAS PALMAS,ESLPA,28.141,-15.41635
TENERIFE,ESSCT,28.48006,-16.23424
ARRECIFE,ESACE,28.962,-13.5395
LA PALMA,ESSPC,28.671,-17.7645
LA GOMERA,ESSSG,28.0655,-17.1175
LA ESTACA,ESHIE,27.783,-17.895
PUERTO DEL ROSARIO,ESFUE,28.4865,-13.8545
