,A CORUNA,ALGECIRAS,ALICANTE,ALMERIA,AVILES,BALEARES,BARCELONA,BILBAO,CADIZ,CARTAGENA,CATELLON,CEUTA,FERROL,GIJON,HUELVA,MALAGA,MARIN,MELILLA,MOTRIL,LAS PALMAS,PASAIA,SANTANDER,SEVILLA,TARRAGONA,TENERIFE,VALENCIA,VIGO,VILAGARCIA
A CORUNA,0,621,916,767,129,999,1134,256,565,856,1025,619,11,143,546,679,119,747,715,1001,305,226,608,1100,999,1005,122,109
ALGECIRAS,621,0,302,153,738,451,520,865,75,242,411,15,626,752,123,66,537,139,104,702,914,835,144,486,722,391,521,530
ALICANTE,916,302,0,155,1033,166,288,1160,370,68,119,297,921,1047,418,247,832,222,205,997,1209,1130,439,194,1017,99,817,825
ALMERIA,767,153,155,0,884,304,373,1011,221,95,264,151,772,898,269,98,683,94,56,848,1078,981,290,339,868,244,668,676
AVILES,129,738,1033,884,0,1183,1251,138,681,973,1142,736,128,23,663,796,236,864,831,1098,183,104,725,1218,1132,1123,240,232
BALEARES,999,451,166,304,1183,0,130,1309,519,214,130,444,1070,1196,567,396,981,364,354,1146,1358,1279,588,128,1166,145,966,974
BARCELONA,1134,520,288,373,1251,130,0,1378,586,285,132,151,1139,1265,636,465,1085,439,423,1215,1427,1348,657,50,1235,164,1035,1043
BILBAO,256,865,1160,1011,138,1309,1378,0,808,1100,1269,863,255,120,804,923,363,991,960,1248,58,36,852,1344,1246,1249,366,358
CADIZ,565,75,370,221,681,519,586,808,0,310,479,73,570,695,58,133,481,201,196,685,857,789,78,554,702,459,463,471
CARTAGENA,856,242,68,95,973,214,285,1100,310,0,176,241,861,987,358,187,772,167,145,937,1149,1070,379,251,957,156,757,765
CATELLON,1025,411,119,264,1142,130,132,1269,479,176,0,407,1030,1156,527,356,941,332,314,1106,1318,1239,548,88,1126,40,926,934
CEUTA,619,15,297,151,736,444,151,863,73,241,407,0,624,750,1121,66,535,131,98,700,912,833,142,482,720,390,520,528
FERROL,11,626,921,772,128,1070,1139,255,570,861,1030,624,0,142,551,684,124,752,720,1001,305,225,613,1105,999,1010,127,119
GIJON,143,752,1047,898,23,1196,1265,120,695,987,1156,750,142,0,677,810,250,878,843,1111,165,86,739,1231,1109,1136,253,245
HUELVA,546,123,418,269,663,567,636,804,58,358,527,1121,551,677,0,181,462,249,217,700,839,760,95,602,715,507,453,461
MALAGA,679,66,247,98,796,396,465,923,133,187,356,66,684,810,181,0,595,114,44,760,972,893,202,431,780,336,580,558
MARIN,119,537,832,683,236,981,1085,363,481,772,941,535,124,250,462,595,0,663,631,926,412,333,524,1016,933,921,24,29
MELILLA,747,139,222,94,864,364,439,991,201,167,332,131,752,878,249,114,663,0,90,828,1088,961,270,406,848,313,648,656
MOTRIL,715,104,205,56,831,354,423,960,196,145,314,98,720,843,217,44,631,90,0,795,1006,929,238,390,815,294,618,649
LAS PALMAS,1001,702,997,848,1098,1146,1215,1248,685,937,1106,700,1001,1111,700,760,926,828,795,0,1303,1210,752,1181,52,1086,918,926
PASAIA,305,914,1209,1078,183,1358,1427,58,857,1149,1318,912,305,165,839,972,412,1088,1006,1303,0,87,901,1393,1295,1298,415,407
SANTANDER,226,835,1130,981,104,1279,1348,36,789,1070,1239,833,225,86,760,893,333,961,929,1210,87,0,822,1314,1208,1219,336,328
SEVILLA,608,144,439,290,725,588,657,852,78,379,548,142,613,739,95,202,524,270,238,752,901,822,0,623,765,528,510,518
TARRAGONA,1100,486,194,339,1218,128,50,1344,554,251,88,482,1105,1231,602,431,1016,406,390,1181,1393,1314,623,0,1201,126,1001,1032
TENERIFE,999,722,1017,868,1132,1166,1235,1246,702,957,1126,720,999,1109,715,780,933,848,815,52,1295,1208,765,1201,0,1106,909,917
VALENCIA,1005,391,99,244,1123,145,164,1249,459,156,40,390,1010,1136,507,336,921,313,294,1086,1298,1219,528,126,1106,0,906,914
VIGO,122,521,817,668,240,966,1035,366,463,757,926,520,127,253,453,580,24,648,618,918,415,336,510,1001,909,906,0,31
VILAGARCIA,109,530,825,676,232,974,1043,358,471,765,934,528,119,245,461,558,29,656,649,926,407,328,518,1032,917,914,31,0
